,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.51554E+14,B-22-16 28BDA,612659,,,,AUTOMATED,1000,10.75,UNUSED,6/1/1963,35.264714,113.985261
FALSE,3.52518E+14,B-24-14 33ADA,,,,,AUTOMATED,623,16,UNUSED,1/1/1944,35.423922,113.76375
FALSE,3.52555E+14,B-24-14 28CAD,624981,550.8,2802.85,2/5/2025,AUTOMATED,705,16,UNUSED,1/1/1943,35.432994,113.771925
FALSE,3.54551E+14,B-28-17 31CCC2,208802,661.37,2343.5,5/30/2024,AUTOMATED,714,16,UNUSED,12/8/2005,35.764094,114.1485
FALSE,3.54238E+14,B-27-17 23CAC,640651,365.9,2399.1,10/23/2024,INDEX,800,20,UNUSED,5/1/1973,35.710722,114.071944
FALSE,3.5413E+14,B-27-16 33BAA,800970,349.1,2444.9,10/19/2022,INDEX,500,8,STOCK,1/1/1963,35.691,113.998306
FALSE,3.51225E+14,B-21-15 17BAD,534901,403,3582,2/13/2018,INDEX,615,6.62,DOMESTIC,4/11/1992,35.207083,113.897806
FALSE,3.5361E+14,B-26-17 35AAA,600500,274.8,2493.2,3/19/2025,INDEX,700,14,UNUSED,6/1/1957,35.6035,114.060917
FALSE,3.54552E+14,B-28-17 31CCC1,805894,658.2,2351.8,10/23/2024,INDEX,800,,UNUSED,,35.764056,114.148833
FALSE,3.55428E+14,B-29-18 13BBA,208804,372.5,1952.5,10/26/2011,INDEX,1010,8.62,UNUSED,8/7/2006,35.907722,114.171083
FALSE,3.52052E+14,B-23-15 30CBB,606421,379.6,2773.4,5/3/2022,INDEX,1000,20,UNUSED,6/15/1973,35.347972,113.921722
FALSE,3.524E+14,B-23-15 04DDD,624997,450.4,2721.6,10/24/2024,INDEX,805,16,PUBLIC SUPPLY,9/25/1972,35.400249,113.870391
FALSE,3.52108E+14,B-23-15 25BBC,,956.8,2833.2,3/19/2025,INDEX,1015,7,UNUSED,2/2/1991,35.351836,113.833697
FALSE,3.52527E+14,B-24-15 32BCA,604195,522.9,2499.1,3/23/2023,INDEX,677,10,UNUSED,4/19/1974,35.424278,113.901107
FALSE,3.5254E+14,B-24-15 33BBB,624990,522.1,2496.9,10/24/2024,INDEX,1100,16,UNUSED,2/1/1973,35.427639,113.886778
FALSE,3.52951E+14,B-24-15 01BAC,575024,623.4,2511.6,10/24/2024,INDEX,900,6.62,DOMESTIC,8/31/1999,35.497472,113.8275
FALSE,3.5291E+14,B-24-16 01DDD1,619553,463,2498,10/24/2024,INDEX,700,20,UNUSED,1/1/1963,35.486331,113.92247
FALSE,3.53103E+14,B-25-15 29CCC,606907,442.5,2499.5,3/20/2025,INDEX,,8,UNUSED,,35.51725,113.917333
