,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.20441E+14,D-16-25 01BBB,607558,103.78,4103.55,8/6/2025,AUTOMATED,161,16,UNUSED,10/1/1975,32.078236,109.761022
FALSE,3.22604E+14,D-11-24 32DBA,914863,377.23,3953.91,8/6/2025,AUTOMATED,1061,10.75,UNUSED,12/16/2012,32.434464,109.915839
FALSE,3.13533E+14,D-21-28 21BCB1,203421,12.8,4635,8/6/2025,AUTOMATED,25,2.4,UNUSED,5/18/2004,31.591631,109.505
FALSE,3.22956E+14,D-11-23 10AAA,613594,382.24,4013.1,8/6/2025,AUTOMATED,500,16,UNUSED,1/1/1965,32.499761,109.978439
FALSE,3.20105E+14,D-16-27 30BAC,608128,403.22,3994.06,8/6/2025,AUTOMATED,597,16,UNUSED,6/28/1965,32.017808,109.642433
FALSE,3.2244E+14,D-12-23 11ABB,,299.77,3978.02,8/6/2025,AUTOMATED,333.3,16,UNUSED,2/1/1958,32.412881,109.967253
FALSE,3.20029E+14,D-16-29 26CCC2,629083,17.74,5198.29,8/6/2025,AUTOMATED,120,12,UNUSED,10/16/1979,32.008278,109.370644
FALSE,3.21736E+14,D-13-25 21AAC,611245,190.2,4023.8,11/4/2024,INDEX,500,16,UNUSED,,32.293167,109.793806
FALSE,3.21834E+14,D-13-24 16BBB,805474,,,,INDEX,1356,16,STOCK,4/2/1932,32.311139,109.909194
FALSE,3.22741E+14,D-11-24 17CAA,621281,456.6,3990.4,11/4/2024,INDEX,,,IRRIGATION,,32.478028,109.919028
FALSE,3.15626E+14,D-17-27 20DAA2,606029,385.1,4027.9,11/5/2024,INDEX,,,IRRIGATION,,31.940111,109.609861
FALSE,3.15744E+14,D-17-26 14AAA1,227441,274.4,4053.6,11/14/2017,INDEX,1450,20,IRRIGATION,10/30/2017,31.962139,109.660861
FALSE,3.15858E+14,D-17-27 01DAD,616193,276.2,4344.8,11/1/2022,INDEX,1000,16,UNUSED,1/30/1968,31.982417,109.54158
FALSE,3.20328E+14,D-16-24 09CBB,,328,3933,11/22/2024,INDEX,465,,UNUSED,,32.057777,109.913581
FALSE,3.21322E+14,D-14-25 11CAA,615968,69.3,4133.7,12/17/2014,INDEX,100,6,STOCK,9/20/1961,32.231056,109.764639
FALSE,3.21532E+14,D-13-25 31CAB1,,36.1,4132.9,12/19/2003,INDEX,,11,UNUSED,,32.260028,109.836639
FALSE,3.22008E+14,D-13-24 03ADA,616780,172.5,4046.5,11/4/2024,INDEX,266,18,IRRIGATION,2/1/1953,32.336583,109.8755
FALSE,3.24018E+14,D-09-23 08BAA,805360,255.7,4902.3,11/4/2024,INDEX,,,STOCK,,32.672306,110.017028
